Page URL,Hreflang,Issue Type,Discovered
https://dailyride.nl/blogs/blog/de-juiste-verzekering-voor-jouw-fatbike/,,No self-referencing hreflang,04 Mar 2025 (17:28 UTC)
https://dailyride.nl/collections/diablo-fatbikes/,,No self-referencing hreflang,26 Mar 2025 (00:03 UTC)
https://dailyride.nl/collections/e-bikes/,,No self-referencing hreflang,26 Mar 2025 (00:03 UTC)
https://dailyride.nl/collections/eb-fatbikes/,,No self-referencing hreflang,26 Mar 2025 (00:03 UTC)
https://dailyride.nl/collections/elektrische-fatbikes?filter.p.vendor=EB4,,No self-referencing hreflang,04 Mar 2025 (17:28 UTC)
https://dailyride.nl/collections/elektrische-fietsen/,,No self-referencing hreflang,26 Mar 2025 (00:03 UTC)
https://dailyride.nl/collections/onderdelen/,,No self-referencing hreflang,04 Mar 2025 (17:28 UTC)
https://dailyride.nl/collections/onderdelen?filter.p.tag=V20,,No self-referencing hreflang,26 Mar 2025 (00:03 UTC)
https://dailyride.nl/collections/onderdelen?filter.p.tag=V20&page=1,,No self-referencing hreflang,26 Mar 2025 (00:03 UTC)
https://dailyride.nl/collections/onderdelen?filter.p.tag=V20&page=2,,No self-referencing hreflang,26 Mar 2025 (00:03 UTC)
https://dailyride.nl/collections/onderdelen?filter.p.tag=V20&page=3,,No self-referencing hreflang,26 Mar 2025 (00:03 UTC)
https://dailyride.nl/collections/onderdelen?filter.p.tag=V20&page=4,,No self-referencing hreflang,26 Mar 2025 (00:03 UTC)
https://dailyride.nl/collections/onderdelen?filter.p.tag=V20&page=5,,No self-referencing hreflang,26 Mar 2025 (00:03 UTC)
https://dailyride.nl/collections/onderdelen?filter.p.tag=V20&page=6,,No self-referencing hreflang,26 Mar 2025 (00:03 UTC)
https://dailyride.nl/collections/onderdelen?filter.p.tag=V20&page=7,,No self-referencing hreflang,26 Mar 2025 (00:03 UTC)
https://dailyride.nl/collections/onderdelen?filter.p.tag=V20&page=8,,No self-referencing hreflang,26 Mar 2025 (00:03 UTC)
https://dailyride.nl/collections/onderdelen?filter.p.tag=V20&page=9,,No self-referencing hreflang,26 Mar 2025 (00:03 UTC)
https://dailyride.nl/collections/onderdelen?filter.p.vendor=Ouxi,,No self-referencing hreflang,26 Mar 2025 (00:03 UTC)
https://dailyride.nl/collections/onderdelen?filter.p.vendor=Ouxi&page=1,,No self-referencing hreflang,26 Mar 2025 (00:03 UTC)
https://dailyride.nl/collections/onderdelen?filter.p.vendor=Ouxi&page=2,,No self-referencing hreflang,26 Mar 2025 (00:03 UTC)
https://dailyride.nl/collections/onderdelen?filter.p.vendor=Ouxi&page=3,,No self-referencing hreflang,26 Mar 2025 (00:03 UTC)
https://dailyride.nl/collections/onderdelen?filter.p.vendor=Ouxi&page=4,,No self-referencing hreflang,26 Mar 2025 (00:03 UTC)
https://dailyride.nl/collections/ouxi-fatbikes/,,No self-referencing hreflang,26 Mar 2025 (00:03 UTC)
